item,Titre,et,createur,AnneeCreation,image,coord 2
http://www.wikidata.org/entity/Q3076004,fontaine Childebert,fontaine Childebert-Jean Beausire,Jean Beausire,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Childebert%20Paris%205e%20%28vue%20d%27ensemble%29.jpg,"48.84777778, 2.35027778"
http://www.wikidata.org/entity/Q3076004,fontaine Childebert,fontaine Childebert-Victor-Thierry Dailly,Victor-Thierry Dailly,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Childebert%20Paris%205e%20%28vue%20d%27ensemble%29.jpg,"48.84777778, 2.35027778"
http://www.wikidata.org/entity/Q3076018,fontaine Cuvier,fontaine Cuvier-Alphonse Vigoureux,Alphonse Vigoureux,,http://commons.wikimedia.org/wiki/Special:FilePath/Cuvierfountain.JPG,"48.844, 2.355"
http://www.wikidata.org/entity/Q3076018,fontaine Cuvier,fontaine Cuvier-Jean-Jacques Feuchère,Jean-Jacques Feuchère,,http://commons.wikimedia.org/wiki/Special:FilePath/Cuvierfountain.JPG,"48.844, 2.355"
http://www.wikidata.org/entity/Q3076130,fontaine de Charonne,fontaine de Charonne-Jean Beausire,Jean Beausire,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Trogneux.jpg,"48.852, 2.37374"
http://www.wikidata.org/entity/Q3076128,fontaine de Diane,fontaine de Diane-Jacques Ignace Hittorff,Jacques Ignace Hittorff,1840,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20de%20Diane%20Paris%208e%20002.jpg,"48.8659, 2.31695"
http://www.wikidata.org/entity/Q3076128,fontaine de Diane,fontaine de Diane-Louis Desprez,Louis Desprez,1840,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20de%20Diane%20Paris%208e%20002.jpg,"48.8659, 2.31695"
http://www.wikidata.org/entity/Q3076013,fontaine Dejean,fontaine Dejean-Charles-Louis Malric,Charles-Louis Malric,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Dejean.jpg,"48.8629, 2.36702"
http://www.wikidata.org/entity/Q3076013,fontaine Dejean,fontaine Dejean-Jean Camille Formigé,Jean Camille Formigé,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Dejean.jpg,"48.8629, 2.36702"
http://www.wikidata.org/entity/Q3076179,fontaine de l'Avril,fontaine de l'Avril-Pierre Roche,Pierre Roche,1916,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20d%27Avril%20-%20Galliera.jpg,"48.8653, 2.2967"
http://www.wikidata.org/entity/Q3076190,fontaine de la Grille du Coq,fontaine de la Grille du Coq-Jacques Ignace Hittorff,Jacques Ignace Hittorff,1840,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20de%20la%20Grille%20du%20Coq%20Paris%208e%20002.jpg,"48.8674, 2.318"
